Date : 2022-11-15 14:42:53
Directory : d:\vscode_project\Performace-MM\front-end
Total : 198 files,  52281 codes, 1841 comments, 459 blanks, all 54581 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| CSS                |         53 |     18,232 |        572 |         52 |     18,856 |
| Vue                |         46 |     16,962 |        799 |        201 |     17,962 |
| JSON               |          2 |     13,051 |          0 |          2 |     13,053 |
| JavaScript         |         29 |      3,748 |        421 |        157 |      4,326 |
| SCSS               |          4 |        175 |         31 |         33 |        239 |
| XML                |         59 |         61 |          0 |          0 |         61 |
| Markdown           |          1 |         23 |          0 |          7 |         30 |
| HTML               |          1 |         16 |          1 |          1 |         18 |
| YAML               |          1 |          5 |         13 |          5 |         23 |
| JSON with Comments |          1 |          5 |          4 |          0 |          9 |
| Log                |          1 |          3 |          0 |          1 |          4 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                   |        198 |     52,281 |      1,841 |        459 |     54,581 |
| public                                                                                                              |         28 |      9,530 |        286 |         27 |      9,843 |
| public\tinymce                                                                                                      |         27 |      9,514 |        285 |         26 |      9,825 |
| public\tinymce\langs                                                                                                |          1 |        419 |          0 |          0 |        419 |
| public\tinymce\skins                                                                                                |         26 |      9,095 |        285 |         26 |      9,406 |
| public\tinymce\skins\content                                                                                        |          6 |        137 |         39 |          6 |        182 |
| public\tinymce\skins\content\default                                                                                |          2 |         44 |         13 |          2 |         59 |
| public\tinymce\skins\content\document                                                                               |          2 |         48 |         13 |          2 |         63 |
| public\tinymce\skins\content\writer                                                                                 |          2 |         45 |         13 |          2 |         60 |
| public\tinymce\skins\ui                                                                                             |         20 |      8,958 |        246 |         20 |      9,224 |
| public\tinymce\skins\ui\oxide                                                                                       |         10 |      4,479 |        123 |         10 |      4,612 |
| public\tinymce\skins\ui\oxide-dark                                                                                  |         10 |      4,479 |        123 |         10 |      4,612 |
| src                                                                                                                 |        161 |     29,572 |      1,547 |        417 |     31,536 |
| src\assets                                                                                                          |          5 |        345 |         38 |         34 |        417 |
| src\assets\js                                                                                                       |          1 |        131 |          7 |          3 |        141 |
| src\assets\styles                                                                                                   |          4 |        214 |         31 |         31 |        276 |
| src\components                                                                                                      |         47 |     13,612 |        383 |        136 |     14,131 |
| src\components\Chart                                                                                                |          2 |        313 |          4 |         11 |        328 |
| src\components\Chart\mixins                                                                                         |          1 |         48 |          4 |          5 |         57 |
| src\components\Cop                                                                                                  |          5 |      1,056 |         26 |         21 |      1,103 |
| src\components\Dashboard                                                                                            |          3 |        841 |         25 |         43 |        909 |
| src\components\Dashboard\mixins                                                                                     |          1 |         50 |          4 |          2 |         56 |
| src\components\PasswordEdit                                                                                         |          1 |        216 |          4 |          3 |        223 |
| src\components\PlanProcessTable                                                                                     |          2 |        242 |          0 |          8 |        250 |
| src\components\Sticky                                                                                               |          1 |         90 |          0 |          2 |         92 |
| src\components\SvgIcon                                                                                              |          1 |         57 |          1 |          5 |         63 |
| src\components\common                                                                                               |          1 |        186 |          9 |          3 |        198 |
| src\components\monthConclusion                                                                                      |         28 |      9,606 |        287 |         29 |      9,922 |
| src\components\monthConclusion\skins                                                                                |         26 |      9,095 |        285 |         26 |      9,406 |
| src\components\monthConclusion\skins\content                                                                        |          6 |        137 |         39 |          6 |        182 |
| src\components\monthConclusion\skins\content\default                                                                |          2 |         44 |         13 |          2 |         59 |
